,timestamp,db_time,lha_poly_0,lha_count_0,lha_poly_1,lha_count_1,lhb_poly_0,lhb_count_0,lhb_poly_1,lhb_count_1
0,2024-12-10T15:55:00.856599Z,122619265,1,76544,1,37612,2,34908,2,76900
1,2024-12-10T15:55:00.896473Z,122659139,0,76540,0,37615,3,34907,3,76897
2,2024-12-10T15:55:00.916409Z,122679075,1,76539,1,37611,2,34905,3,76896
3,2024-12-10T15:55:00.996157Z,122758823,1,76539,1,37613,2,34907,2,76899
4,2024-12-10T15:55:01.016094Z,122778760,1,76540,1,37611,2,34908,2,76899
5,2024-12-10T15:55:01.055967Z,122818633,0,76541,0,37616,2,34907,2,76899
6,2024-12-10T15:55:01.175588Z,122938254,0,76541,0,37616,2,34906,2,76898
7,2024-12-10T15:55:01.195524Z,122958190,0,76534,0,37614,3,34907,3,76896
8,2024-12-10T15:55:01.255335Z,123018001,0,76542,0,37617,3,34908,3,76898
9,2024-12-10T15:55:01.295209Z,123057875,0,76541,0,37615,3,34907,3,76896
10,2024-12-10T15:55:01.374956Z,123137622,1,76542,1,37612,2,34908,2,76899
11,2024-12-10T15:55:01.414830Z,123177496,0,76535,0,37615,2,34907,2,76898
12,2024-12-10T15:55:01.614198Z,123376864,0,76540,0,37614,2,34908,2,76899
13,2024-12-10T15:55:01.654072Z,123416738,0,76537,0,37615,2,34906,2,76898
14,2024-12-10T15:55:01.713882Z,123476548,0,76541,0,37615,2,34907,2,76898
15,2024-12-10T15:55:01.733819Z,123496485,1,76540,1,37611,3,34907,2,76898
16,2024-12-10T15:55:01.773692Z,123536358,0,76535,0,37615,3,34907,3,76897
17,2024-12-10T15:55:01.833503Z,123596169,1,76539,0,37615,2,34907,2,76899
18,2024-12-10T15:55:01.953123Z,123715789,0,76541,0,37616,2,34906,2,76898
19,2024-12-10T15:55:01.973060Z,123735726,1,76539,1,37611,3,34907,2,76899
20,2024-12-10T15:55:02.092682Z,123855348,1,76541,1,37612,2,34909,2,76899
21,2024-12-10T15:55:02.252169Z,124014835,1,76541,1,37614,3,34906,3,76896
22,2024-12-10T15:55:02.272106Z,124034772,0,76541,0,37616,2,34908,3,76897
23,2024-12-10T15:55:02.391727Z,124154393,1,76544,1,37612,3,34908,2,76899
24,2024-12-10T15:55:02.451538Z,124214204,0,76541,0,37616,2,34908,2,76900
25,2024-12-10T15:55:02.491411Z,124254077,0,76540,1,37612,2,34908,2,76898
26,2024-12-10T15:55:02.571158Z,124333824,0,76541,0,37615,2,34905,3,76897
27,2024-12-10T15:55:02.611032Z,124373698,1,76539,1,37611,3,34907,3,76896
28,2024-12-10T15:55:02.750596Z,124513262,0,76535,0,37616,2,34908,3,76897
29,2024-12-10T15:55:02.810407Z,124573073,0,76536,0,37615,2,34908,2,76899
30,2024-12-10T15:55:02.850280Z,124612946,0,76541,0,37616,2,34908,2,76898
31,2024-12-10T15:55:02.870217Z,124632883,0,76534,0,37614,2,34906,2,76898
32,2024-12-10T15:55:02.910090Z,124672756,0,76535,0,37616,2,34907,2,76898
33,2024-12-10T15:55:02.930027Z,124692693,0,76541,0,37617,3,34908,2,76898
34,2024-12-10T15:55:02.989838Z,124752504,0,76541,0,37616,2,34907,3,76899
35,2024-12-10T15:55:03.049649Z,124812315,0,76541,0,37616,3,34908,2,76898
36,2024-12-10T15:55:03.209142Z,124971808,1,76539,1,37612,3,34908,3,76897
37,2024-12-10T15:55:03.328764Z,125091430,1,76540,1,37611,2,34904,2,76898
38,2024-12-10T15:55:03.388573Z,125151239,0,76535,1,37612,3,34907,3,76896
39,2024-12-10T15:55:03.408510Z,125171176,1,76542,1,37612,2,34905,2,76898
40,2024-12-10T15:55:03.508195Z,125270861,1,76542,0,37617,2,34907,2,76899
41,2024-12-10T15:55:03.528132Z,125290798,1,76543,1,37613,3,34906,2,76899
42,2024-12-10T15:55:03.568005Z,125330671,0,76540,1,37613,3,34906,3,76895
43,2024-12-10T15:55:03.727500Z,125490166,1,76542,1,37612,2,34908,2,76900
44,2024-12-10T15:55:04.146172Z,125908838,0,76536,0,37614,3,34907,3,76897
45,2024-12-10T15:55:04.385415Z,126148081,1,76556,1,37609,2,34907,2,76898
46,2024-12-10T15:55:04.505035Z,126267701,0,76541,0,37616,2,34908,2,76900
47,2024-12-10T15:55:05.402185Z,127164851,1,76541,1,37612,2,34907,2,76899
48,2024-12-10T15:55:06.279405Z,128042071,0,76541,0,37616,3,34907,3,76896
49,2024-12-10T15:55:06.292344Z,128055010,0,76541,0,37617,2,34905,3,76896
50,2024-12-10T15:55:06.299342Z,128062008,0,76541,0,37617,2,34905,2,76896
51,2024-12-10T15:55:06.319278Z,128081944,1,76538,1,37611,2,34906,3,76895
52,2024-12-10T15:55:06.658205Z,128420871,0,76541,0,37615,3,34907,2,76898
53,2024-12-10T15:55:06.757895Z,128520561,0,76542,0,37615,3,34907,2,76899
54,2024-12-10T15:55:06.897453Z,128660119,0,76536,0,37616,2,34906,2,76899
55,2024-12-10T15:55:06.937326Z,128699992,0,76534,0,37614,2,34908,2,76899
56,2024-12-10T15:55:07.296190Z,129058856,0,76535,0,37614,2,34908,2,76901
57,2024-12-10T15:55:07.355999Z,129118665,1,76540,1,37613,2,34907,2,76898
58,2024-12-10T15:55:07.375936Z,129138602,1,76539,1,37609,2,34907,3,76896
59,2024-12-10T15:55:07.435746Z,129198412,0,76536,1,37617,3,34907,3,76897
60,2024-12-10T15:55:08.013914Z,129776580,0,76536,0,37615,3,34907,3,76897
61,2024-12-10T15:55:08.033851Z,129796517,1,76540,1,37612,3,34907,3,76898
62,2024-12-10T15:55:08.352833Z,130115499,0,76535,0,37614,3,34905,3,76895
63,2024-12-10T15:55:08.365778Z,130128444,1,76541,1,37613,3,34907,3,76895
64,2024-12-10T15:55:08.372769Z,130135435,1,76541,1,37613,3,34907,3,76897
65,2024-12-10T15:55:08.412644Z,130175310,0,76540,0,37615,2,34907,2,76900
66,2024-12-10T15:55:08.711696Z,130474362,1,76541,0,37615,3,34908,3,76897
67,2024-12-10T15:55:08.950938Z,130713604,1,76540,0,37616,3,34907,3,76897
68,2024-12-10T15:55:09.210116Z,130972782,0,76534,0,37615,3,34908,2,76899
69,2024-12-10T15:55:09.249990Z,131012656,0,76536,1,37611,2,34908,2,76899
70,2024-12-10T15:55:09.489232Z,131251898,0,76541,1,37611,2,34908,2,76899
71,2024-12-10T15:55:09.509169Z,131271835,1,76541,1,37613,3,34907,2,76898
72,2024-12-10T15:55:09.549042Z,131311708,1,76541,1,37612,2,34907,2,76899
73,2024-12-10T15:55:09.568979Z,131331645,0,76535,0,37614,3,34908,2,76898
74,2024-12-10T15:55:09.608852Z,131371518,1,76539,1,37612,2,34907,2,76898
75,2024-12-10T15:55:09.688600Z,131451266,1,76542,1,37612,2,34908,2,76898
76,2024-12-10T15:55:09.728473Z,131491139,1,76540,1,37612,3,34908,3,76898
77,2024-12-10T15:55:09.808227Z,131570893,0,76536,0,37615,2,34908,2,76898
78,2024-12-10T15:55:10.047469Z,131810135,0,76535,0,37615,3,34907,2,76899
79,2024-12-10T15:55:10.167090Z,131929756,0,76541,0,37614,2,34907,2,76897
80,2024-12-10T15:55:10.446205Z,132208871,0,76541,0,37616,2,34906,2,76898
81,2024-12-10T15:55:11.462983Z,133225649,1,76542,1,37612,2,34907,2,76898
82,2024-12-10T15:55:11.522793Z,133285459,0,76541,0,37616,2,34907,2,76899
83,2024-12-10T15:55:12.579444Z,134342110,1,76542,0,37616,2,34908,2,76898
84,2024-12-10T15:55:12.898433Z,134661099,0,76542,0,37616,3,34906,2,76898
85,2024-12-10T15:55:12.958243Z,134720909,0,76540,0,37615,3,34906,3,76896
86,2024-12-10T15:55:12.998117Z,134760783,0,76535,0,37615,2,34908,2,76900
87,2024-12-10T15:55:15.350653Z,137113319,1,76541,1,37613,3,34907,3,76894
88,2024-12-10T15:55:15.362307Z,137124973,1,76541,0,37614,3,34907,3,76894
89,2024-12-10T15:55:16.108252Z,137870918,0,76535,0,37616,3,34906,3,76895
90,2024-12-10T15:55:16.148126Z,137910792,0,76540,0,37615,2,34907,3,76897
91,2024-12-10T15:55:16.287684Z,138050350,1,76540,0,37614,3,34907,3,76897
92,2024-12-10T15:55:16.300623Z,138063289,1,76542,1,37611,3,34908,3,76897
93,2024-12-10T15:55:16.307627Z,138070293,1,76542,1,37611,3,34908,3,76897
94,2024-12-10T15:55:16.726301Z,138488967,1,76539,1,37611,2,34905,2,76898
95,2024-12-10T15:55:16.845921Z,138608587,1,76544,1,37612,3,34907,3,76897
96,2024-12-10T15:55:16.865858Z,138628524,1,76539,1,37609,3,34906,3,76897
97,2024-12-10T15:55:16.905732Z,138668398,1,76539,1,37609,3,34907,2,76898
98,2024-12-10T15:55:16.980571Z,138743237,1,76544,1,37614,3,34907,2,76898
99,2024-12-10T15:55:16.985479Z,138748145,1,76544,1,37614,3,34907,3,76897
100,2024-12-10T15:55:17.324405Z,139087071,1,76544,1,37614,3,34906,3,76895
101,2024-12-10T15:55:17.384215Z,139146881,0,76540,0,37615,3,34907,3,76895
102,2024-12-10T15:55:17.503837Z,139266503,1,76538,1,37610,2,34907,2,76898
103,2024-12-10T15:55:17.643394Z,139406060,1,76540,0,37615,2,34906,2,76898
104,2024-12-10T15:55:17.683267Z,139445933,0,76541,0,37614,2,34906,2,76898
105,2024-12-10T15:55:17.802888Z,139565554,0,76541,0,37617,2,34907,2,76899
