LH,c1,c2,mae,rms,std,dist,angle_1,angle_2,max_angle,ecc1,ecc2,ecc_dif
LHA,0,1,33.89,39.99,21.22,468.40,0.652,0.323,0.652,0.730,0.691,0.038
LHB,0,1,17.66,19.55,8.39,468.40,0.606,0.430,0.606,0.884,0.785,0.099
LHA,0,2,18.00,21.77,12.24,870.16,0.652,0.326,0.652,0.730,0.838,0.108
LHB,0,2,32.73,36.70,16.61,870.16,0.606,0.322,0.606,0.884,0.632,0.252
LHA,0,3,23.99,28.92,16.15,984.02,0.652,0.161,0.652,0.730,0.879,0.150
LHB,0,3,12.07,13.63,6.32,984.02,0.606,0.207,0.606,0.884,0.734,0.150
LHA,0,4,29.23,35.20,19.62,587.50,0.652,0.184,0.652,0.730,0.824,0.095
LHB,0,4,16.96,18.98,8.53,587.50,0.606,0.161,0.606,0.884,0.820,0.065
LHA,0,5,6.36,7.80,4.52,478.93,0.652,0.535,0.652,0.730,0.866,0.136
LHB,0,5,17.00,19.31,9.15,478.93,0.606,0.338,0.606,0.884,0.892,0.007
LHA,0,6,18.17,21.08,10.69,767.07,0.652,0.559,0.652,0.730,0.906,0.176
LHB,0,6,17.70,19.58,8.37,767.07,0.606,0.266,0.606,0.884,0.903,0.018
LHA,0,7,13.27,15.81,8.59,990.43,0.652,0.279,0.652,0.730,0.907,0.177
LHB,0,7,12.94,14.26,5.98,990.43,0.606,0.125,0.606,0.884,0.884,0.000
LHA,0,8,16.87,20.23,11.16,1273.79,0.652,0.109,0.652,0.730,0.921,0.191
LHB,0,8,7.62,8.75,4.31,1273.79,0.606,0.269,0.606,0.884,0.882,0.003
LHA,0,9,11.72,13.76,7.21,1465.53,0.652,0.346,0.652,0.730,0.942,0.212
LHB,0,9,11.17,12.34,5.26,1465.53,0.606,0.271,0.606,0.884,0.920,0.036
LHA,1,2,15.92,18.49,9.41,407.22,0.323,0.326,0.326,0.691,0.838,0.147
LHB,1,2,49.58,56.06,26.16,407.22,0.430,0.322,0.430,0.785,0.632,0.153
LHA,1,3,15.63,18.79,10.43,589.55,0.323,0.161,0.323,0.691,0.879,0.188
LHB,1,3,16.66,19.57,10.27,589.55,0.430,0.207,0.430,0.785,0.734,0.051
LHA,1,4,20.68,23.45,11.06,406.20,0.323,0.184,0.323,0.691,0.824,0.133
LHB,1,4,25.99,29.19,13.30,406.20,0.430,0.161,0.430,0.785,0.820,0.035
LHA,1,5,25.90,30.28,15.69,678.39,0.323,0.535,0.535,0.691,0.866,0.174
LHB,1,5,12.97,14.49,6.45,678.39,0.430,0.338,0.430,0.785,0.892,0.107
LHA,1,6,8.14,9.43,4.76,922.74,0.323,0.559,0.559,0.691,0.906,0.215
LHB,1,6,17.85,19.76,8.46,922.74,0.430,0.266,0.430,0.785,0.903,0.118
LHA,1,7,9.30,10.64,5.18,919.63,0.323,0.279,0.323,0.691,0.907,0.215
LHB,1,7,14.56,16.10,6.88,919.63,0.430,0.125,0.430,0.785,0.884,0.099
LHA,1,8,11.37,12.70,5.66,1049.24,0.323,0.109,0.323,0.691,0.921,0.230
LHB,1,8,7.59,9.08,4.97,1049.24,0.430,0.269,0.430,0.785,0.882,0.096
LHA,1,9,8.37,9.38,4.24,1403.10,0.323,0.346,0.346,0.691,0.942,0.250
LHB,1,9,11.88,13.15,5.64,1403.10,0.430,0.271,0.430,0.785,0.920,0.135
LHA,2,3,26.93,32.34,17.90,316.16,0.326,0.161,0.326,0.838,0.879,0.041
LHB,2,3,71.80,86.86,48.89,316.16,0.322,0.207,0.322,0.632,0.734,0.102
LHA,2,4,5.60,6.47,3.23,539.47,0.326,0.184,0.326,0.838,0.824,0.014
LHB,2,4,46.08,52.80,25.78,539.47,0.322,0.161,0.322,0.632,0.820,0.188
LHA,2,5,18.00,21.56,11.88,959.75,0.326,0.535,0.535,0.838,0.866,0.028
LHB,2,5,25.49,28.65,13.08,959.75,0.322,0.338,0.338,0.632,0.892,0.260
LHA,2,6,4.10,5.02,2.89,1134.80,0.326,0.559,0.559,0.838,0.906,0.068
LHB,2,6,26.48,29.80,13.67,1134.80,0.322,0.266,0.322,0.632,0.903,0.271
LHA,2,7,4.81,5.97,3.54,957.79,0.326,0.279,0.326,0.838,0.907,0.069
LHB,2,7,26.81,31.31,16.16,957.79,0.322,0.125,0.322,0.632,0.884,0.252
LHA,2,8,7.68,8.64,3.96,911.03,0.326,0.109,0.326,0.838,0.921,0.083
LHB,2,8,25.37,30.29,16.54,911.03,0.322,0.269,0.322,0.632,0.882,0.250
LHA,2,9,4.88,5.65,2.86,1383.85,0.326,0.346,0.346,0.838,0.942,0.103
LHB,2,9,19.09,22.33,11.59,1383.85,0.322,0.271,0.322,0.632,0.920,0.288
LHA,3,4,17.25,20.51,11.11,470.29,0.161,0.184,0.184,0.879,0.824,0.055
LHB,3,4,7.75,8.87,4.31,470.29,0.207,0.161,0.207,0.734,0.820,0.086
LHA,3,5,26.95,32.12,17.47,911.99,0.161,0.535,0.535,0.879,0.866,0.014
LHB,3,5,5.87,7.28,4.30,911.99,0.207,0.338,0.338,0.734,0.892,0.158
LHA,3,6,9.59,11.71,6.72,1009.98,0.161,0.559,0.559,0.879,0.906,0.026
LHB,3,6,9.28,10.44,4.78,1009.98,0.207,0.266,0.266,0.734,0.903,0.169
LHA,3,7,15.25,18.03,9.62,727.23,0.161,0.279,0.279,0.879,0.907,0.027
LHB,3,7,7.14,8.30,4.23,727.23,0.207,0.125,0.207,0.734,0.884,0.150
LHA,3,8,13.98,16.21,8.21,602.73,0.161,0.109,0.161,0.879,0.921,0.042
LHB,3,8,8.50,10.29,5.80,602.73,0.207,0.269,0.269,0.734,0.882,0.148
LHA,3,9,10.34,12.12,6.32,1103.20,0.161,0.346,0.346,0.879,0.942,0.062
LHB,3,9,7.27,8.42,4.25,1103.20,0.207,0.271,0.271,0.734,0.920,0.186
LHA,4,5,41.11,48.97,26.61,445.04,0.184,0.535,0.535,0.824,0.866,0.041
LHB,4,5,7.21,8.77,4.99,445.04,0.161,0.338,0.338,0.820,0.892,0.072
LHA,4,6,6.41,7.86,4.55,595.48,0.184,0.559,0.559,0.824,0.906,0.082
LHB,4,6,10.79,12.03,5.31,595.48,0.161,0.266,0.266,0.820,0.903,0.083
